,neighborhood,price,bedrooms,bathrooms,house_size,description,neighborhood_description
0,Green Hills,750000.0,4,3.0,2500,"This stunning modern home in Green Hills features an open floor plan, high ceilings, and large windows that flood the space with natural light. The kitchen is equipped with stainless steel appliances and quartz countertops. The master suite boasts a luxurious bathroom with a soaking tub and walk-in shower. Enjoy the spacious backyard perfect for entertaining.","Green Hills is a highly sought-after neighborhood known for its upscale shops, restaurants, and top-rated schools. Residents enjoy easy access to parks, walking trails, and convenient transportation options."
1,Downtown,1200000.0,3,2.5,2000,"Live in luxury in this sleek downtown condo with panoramic city views. The interior features designer finishes, a gourmet kitchen with high-end appliances, and a private terrace. The building offers amenities such as a rooftop pool, fitness center, and concierge services.","Downtown is the heart of the city, offering a vibrant urban lifestyle with trendy restaurants, cultural attractions, and easy access to public transportation for a convenient commute."
2,Belle Meade,1500000.0,5,4.5,4000,"This exquisite estate in Belle Meade exudes elegance with its grand foyer, formal dining room, and custom millwork throughout. The gourmet kitchen features top-of-the-line appliances and a breakfast nook overlooking the lush backyard. The master suite includes a spa-like bathroom and a private balcony.","Belle Meade is a prestigious neighborhood known for its stately homes, tree-lined streets, and proximity to upscale shopping and dining destinations. The area offers a tranquil setting with easy access to major highways."
3,East Nashville,500000.0,2,2.0,1200,"Embrace the eclectic charm of East Nashville in this newly renovated bungalow. The home features an open concept living space, hardwood floors, and a gourmet kitchen with quartz countertops. Relax on the front porch or entertain in the spacious backyard.","East Nashville is a hip and diverse neighborhood known for its vibrant arts scene, unique boutiques, and locally-owned eateries. Residents enjoy a strong sense of community and easy access to parks and green spaces."
4,Sylvan Park,600000.0,3,2.5,1800,"This charming cottage in Sylvan Park offers a blend of modern updates and historic character. The home features a renovated kitchen, hardwood floors, and a cozy fireplace in the living room. The fenced backyard is perfect for outdoor gatherings.","Sylvan Park is a family-friendly neighborhood with tree-lined streets, parks, and a bustling commercial district with cafes, shops, and restaurants. The area provides a laid-back atmosphere with easy access to downtown Nashville."
5,Germantown,850000.0,4,3.0,2300,"Discover urban living at its finest in this contemporary townhome in Germantown. The home features a rooftop deck with skyline views, a gourmet kitchen with custom cabinetry, and a luxurious master suite with a spa-like bathroom. Enjoy the convenience of a two-car garage.","Germantown is a historic neighborhood with a mix of old-world charm and modern amenities. Residents appreciate the neighborhood's walkability, proximity to boutique shops and eateries, and easy access to green spaces and cultural venues."
6,12 South,700000.0,3,2.0,1600,"Live in the heart of the trendy 12 South neighborhood in this stylish bungalow. The home boasts a light-filled living area, a chef's kitchen with quartz countertops, and a covered porch for relaxing outdoors. The primary suite features a walk-in closet and a spa-like bathroom.","12 South is a popular neighborhood known for its boutique shopping, artisanal eateries, and vibrant street life. Residents enjoy a sense of community, proximity to Sevier Park, and easy access to coffee shops and entertainment venues."
7,Hillsboro Village,950000.0,4,3.5,2800,"Experience upscale living in this custom-built home in Hillsboro Village. The interior showcases high-end finishes, a gourmet kitchen with a large island, and a spacious living room with a fireplace. The primary suite offers a private balcony and a luxurious en-suite bathroom.","Hillsboro Village is a vibrant neighborhood with a mix of historic charm and modern amenities. Residents appreciate the area's eclectic shops, cozy cafes, and proximity to Vanderbilt University. Easy access to major highways and public transportation make commuting a breeze."
8,West End,1100000.0,5,4.0,3500,"This elegant home in West End features a grand foyer, formal dining room, and a chef's kitchen with premium appliances. The spacious family room is perfect for entertaining, while the backyard oasis offers a serene retreat. The primary suite boasts a sitting area and a spa-like bathroom.","West End is a prestigious neighborhood known for its historic homes, upscale dining options, and proximity to Centennial Park and the Parthenon. Residents enjoy a sophisticated urban lifestyle with easy access to cultural attractions and recreational activities."
9,Wedgewood-Houston,550000.0,3,2.5,1700,"Modern living awaits in this sleek townhome in Wedgewood-Houston. The home features an open concept layout, designer finishes, and a private rooftop deck with stunning views of the city skyline. The primary suite includes a walk-in closet and a spa-like bathroom.","Wedgewood-Houston is a rapidly growing neighborhood with a mix of residential and commercial development. Residents enjoy a creative and diverse community, proximity to art galleries and craft breweries, and easy access to downtown Nashville and major highways."
10,Willow Creek,450000.0,3,2.5,2100,"This charming home in Willow Creek features a modern open concept design with a spacious living area, gourmet kitchen, and a cozy backyard patio perfect for entertaining. Energy-efficient appliances and smart home features make this property both stylish and eco-friendly.","Willow Creek is a family-friendly neighborhood known for its top-rated schools, parks, and walking trails. Residents enjoy easy access to shopping centers, restaurants, and public transportation options."
11,Oak Ridge Estates,650000.0,4,3.0,3500,"Nestled in the prestigious Oak Ridge Estates, this luxurious home boasts high-end finishes, a grand foyer, and a private backyard oasis with a pool and spa. The property also features a home office, media room, and a three-car garage.","Oak Ridge Estates offers a tranquil setting with tree-lined streets and upscale homes. The neighborhood is close to golf courses, country clubs, and upscale dining options."
12,Riverfront Heights,800000.0,5,4.5,4200,"This stunning riverfront property features panoramic views, a gourmet chef's kitchen, and a spacious master suite with a private balcony. The outdoor living space includes a deck, fire pit, and direct access to the river.","Riverfront Heights is an exclusive enclave known for its waterfront properties and upscale amenities. Residents can enjoy boating, fishing, and nearby shopping and dining options."
13,Mountain View Estates,1200000.0,6,5.0,5000,"Situated in the prestigious Mountain View Estates, this custom-built home offers luxury living with high ceilings, a gourmet kitchen, and a private backyard with a pool and outdoor kitchen. The property also features a home theater and a wine cellar.","Mountain View Estates is an upscale community surrounded by scenic mountain views and lush greenery. The neighborhood is close to hiking trails, golf courses, and upscale shopping centers."
14,Lakeside Retreat,550000.0,3,2.0,2300,"This lakeside retreat features a cozy cabin-style design with vaulted ceilings, a stone fireplace, and a wrap-around deck overlooking the serene lake. The property also includes a private dock for boating and fishing.","Lakeside Retreat offers a peaceful escape from the city with tranquil lake views and abundant wildlife. Residents can enjoy water activities, hiking trails, and nearby cafes and art galleries."
15,Sunset Ridge,700000.0,4,3.5,3800,"Perched on a hill in Sunset Ridge, this contemporary home features floor-to-ceiling windows, a sleek gourmet kitchen, and a spacious outdoor deck with panoramic sunset views. The property also includes a home gym and a landscaped backyard.","Sunset Ridge is a sought-after neighborhood known for its stunning sunsets and peaceful ambiance. Residents have access to hiking trails, parks, and trendy restaurants and cafes."
16,Pinehurst Meadows,480000.0,3,2.0,2100,"This charming ranch-style home in Pinehurst Meadows offers single-level living with a cozy fireplace, updated kitchen, and a large backyard with a vegetable garden. The property also features a detached studio perfect for a home office or art space.","Pinehurst Meadows is a quiet neighborhood with a strong sense of community and well-maintained green spaces. Residents enjoy easy access to local markets, schools, and recreational facilities."
17,Harbor View,950000.0,4,3.5,3600,"Overlooking the harbor, this elegant home in Harbor View boasts a grand entrance, formal dining room, and a luxurious master suite with a spa-like bathroom. The property features a landscaped backyard with a built-in BBQ and fire pit.","Harbor View is a prestigious waterfront community with marinas, yacht clubs, and upscale dining options. Residents can enjoy waterfront activities, scenic views, and easy access to nearby beaches."
18,Maple Grove Estates,580000.0,4,2.5,2800,"This beautifully updated home in Maple Grove Estates features a modern farmhouse design, a gourmet kitchen with quartz countertops, and a cozy family room with a fireplace. The property also includes a spacious backyard with a deck and garden beds.","Maple Grove Estates is a charming neighborhood with tree-lined streets and a close-knit community feel. Residents have access to parks, schools, and local cafes and shops."
19,Hilltop Haven,720000.0,5,3.5,3400,"Located in the serene Hilltop Haven, this spacious home offers vaulted ceilings, a sunlit living room, and a gourmet kitchen with granite countertops. The property includes a private backyard retreat with a covered patio and mature landscaping.","Hilltop Haven is a peaceful neighborhood with panoramic mountain views and a tranquil atmosphere. Residents can enjoy hiking trails, community events, and easy access to nearby schools and recreational facilities."
20,Green Hills,650000.0,4,3.0,2800,"This stunning modern home in Green Hills features an open floor plan, high ceilings, and large windows that flood the space with natural light. The kitchen boasts top-of-the-line appliances and a spacious island. The master suite offers a luxurious retreat with a spa-like bathroom. The backyard oasis includes a covered patio and lush landscaping.","Green Hills is a highly sought-after neighborhood known for its upscale shopping, dining, and entertainment options. Residents enjoy tree-lined streets, parks, and easy access to major highways for convenient commuting."
21,East Nashville,475000.0,3,2.5,1900,"This charming craftsman-style home in East Nashville features a cozy living room with a fireplace, a gourmet kitchen with granite countertops, and a spacious master suite with a walk-in closet. The fenced backyard is perfect for outdoor entertaining and gardening.","East Nashville is a vibrant and eclectic neighborhood known for its artsy vibe, trendy boutiques, and diverse dining options. With easy access to downtown Nashville, residents enjoy a mix of urban convenience and neighborhood charm."
22,Germantown,800000.0,5,4.0,3400,"This historic Victorian home in Germantown has been beautifully restored with modern amenities while preserving its original character. Features include hardwood floors, stained glass windows, and a gourmet kitchen. The backyard garden is a peaceful retreat.","Germantown is a historic neighborhood with a mix of charming homes, trendy restaurants, and boutique shops. Residents appreciate the walkable streets, community events, and proximity to downtown Nashville."
23,Sylvan Park,550000.0,3,2.0,2100,"This stylish bungalow in Sylvan Park offers an open-concept living space, a designer kitchen with quartz countertops, and a master suite with a spa-like bathroom. The covered front porch and fenced backyard provide additional outdoor living space.","Sylvan Park is a popular neighborhood known for its historic homes, local cafes, and proximity to McCabe Golf Course and Park. Residents enjoy a tight-knit community feel and easy access to downtown Nashville."
24,12 South,725000.0,4,3.5,2600,"This contemporary home in the heart of 12 South features sleek finishes, a gourmet kitchen with stainless steel appliances, and a rooftop deck with stunning views of the city skyline. The master suite includes a walk-in closet and a luxurious bathroom.","12 South is a trendy and walkable neighborhood with a mix of boutiques, cafes, and restaurants. Residents enjoy a vibrant atmosphere, tree-lined streets, and easy access to Sevier Park and Belmont University."
25,Belle Meade,1200000.0,5,4.5,4000,"This elegant estate in Belle Meade offers luxury living with a grand foyer, formal dining room, gourmet kitchen, and a spacious family room with a fireplace. The outdoor living space includes a covered patio, swimming pool, and beautifully landscaped gardens.","Belle Meade is an exclusive and upscale neighborhood known for its stately homes, country club, and horse farms. Residents enjoy a peaceful setting with easy access to premier shopping, dining, and entertainment options."
26,Hillsboro Village,600000.0,4,2.5,2300,"This charming cottage in Hillsboro Village features a cozy living room, a renovated kitchen with quartz countertops, and a master suite with a private balcony. The fenced backyard offers a tranquil escape in the heart of the city.","Hillsboro Village is a historic and walkable neighborhood with a mix of shops, cafes, and theaters. Residents appreciate the neighborhood's bohemian vibe, proximity to Vanderbilt University, and easy access to downtown Nashville."
27,West End,950000.0,4,3.0,3000,"This contemporary townhome in West End features a sleek design, high-end finishes, and a gourmet kitchen with a large island. The spacious living area is perfect for entertaining, and the rooftop terrace offers panoramic views of the city.","West End is a vibrant and diverse neighborhood with a mix of historic homes, modern developments, and cultural attractions. Residents enjoy convenient access to Centennial Park, the Parthenon, and a variety of dining and entertainment options."
28,The Gulch,850000.0,2,2.5,2200,"This luxury condo in The Gulch offers a sophisticated urban living experience with high ceilings, floor-to-ceiling windows, and a chef's kitchen with top-of-the-line appliances. The building amenities include a fitness center, rooftop pool, and concierge services.","The Gulch is a trendy and upscale neighborhood known for its high-rise condos, boutique shops, and renowned restaurants. Residents enjoy a vibrant nightlife scene, proximity to downtown Nashville, and easy access to public transportation."
29,Edgehill,500000.0,3,2.0,1800,"This newly renovated home in Edgehill features an open floor plan, hardwood floors, and a modern kitchen with quartz countertops. The master suite includes a walk-in closet and a spa-like bathroom. The backyard patio is ideal for outdoor gatherings.","Edgehill is a rapidly developing neighborhood with a mix of historic homes, new construction, and local businesses. Residents appreciate the sense of community, nearby parks, and easy access to downtown Nashville and Music Row.

- Neighborhood: Green Hills
- Price: $750,000
- Bedrooms: 3
- Bathrooms: 2.5
- House Size: 2,200 sqft
    
Description: This charming home in Green Hills features a modern open floor plan, high ceilings, and a gourmet kitchen with stainless steel appliances. The master suite boasts a luxurious spa-like bathroom. The backyard oasis is perfect for entertaining with a deck and lush landscaping.

Neighborhood Description: Green Hills is a sought-after neighborhood known for its upscale shopping, dining, and proximity to parks. Residents enjoy a vibrant community with excellent schools and easy access to major highways.

- Neighborhood: Historic Germantown
- Price: $600,000
- Bedrooms: 2
- Bathrooms: 2
- House Size: 1,800 sqft
    
Description: This historic townhouse in Germantown has been beautifully renovated while preserving its original character. Features include exposed brick walls, hardwood floors, and a private courtyard. The gourmet kitchen is a chef's dream.

Neighborhood Description: Historic Germantown is a trendy neighborhood with a mix of historic charm and modern amenities. Enjoy local cafes, galleries, and boutiques within walking distance. Easy access to downtown and public transportation.

- Neighborhood: Sylvan Park
- Price: $500,000
- Bedrooms: 4
- Bathrooms: 3
- House Size: 2,500 sqft
    
Description: This contemporary home in Sylvan Park offers a spacious layout, designer finishes, and a rooftop deck with stunning views. The sleek kitchen features quartz countertops and a large island. The master suite includes a walk-in closet and spa-like bathroom.

Neighborhood Description: Sylvan Park is a vibrant neighborhood with a mix of historic homes and new construction. Enjoy local eateries, coffee shops, and parks. Close to the Greenway for outdoor activities and easy access to downtown.

- Neighborhood: 12 South
- Price: $850,000
- Bedrooms: 4
- Bathrooms: 3.5
- House Size: 2,800 sqft
    
Description: This luxurious home in 12 South boasts custom finishes, a gourmet kitchen, and a private backyard oasis with a covered patio and fire pit. The spacious master suite features a soaking tub and walk-in shower. Perfect for modern living and entertaining.

Neighborhood Description: 12 South is a trendy neighborhood known for its eclectic mix of shops, restaurants, and entertainment options. Experience a lively atmosphere with a strong sense of community. Easy access to Belmont University and downtown Nashville.

- Neighborhood: East Nashville
- Price: $400,000
- Bedrooms: 3
- Bathrooms: 2
- House Size: 1,600 sqft
    
Description: This stylish bungalow in East Nashville features an open concept layout, hardwood floors, and a designer kitchen with quartz countertops. The fenced backyard offers a private retreat with a deck and mature trees.

Neighborhood Description: East Nashville is a hip and eclectic neighborhood with a thriving arts and music scene. Enjoy local breweries, restaurants, and boutique shops. Close to Shelby Park for outdoor recreation and just a short drive to downtown."
